id,name,price,rating,date,weight,category,whatsappLink,isBestSeller,imageSrc/0,imageAlt,description,details/0,details/1,details/2,details/3,details/4,href,details/5,imageSrc/1,imageSrc/2,imageSrc/3,details/6,details/7
1,Nutty Crunchy Cookies,300,5,4/11/22,250,cookie,https://wa.me/p/3736676649772083/919967551778,true,/images/products/1a.png,Nutty Crunchy Cookies,"These nutty crunchy cookies are our homemade bestseller. Made with natural ingredients, it won't take a toll on your health.",Calories: 400kcal,All Purpose Flour,Pista,Coconut and almonds,Unsalted Butter,,,,,,,
2,Almonds Pistachios Biscuits,325,5,4/11/22,350,biscuit,https://wa.me/p/4438652986166678/919967551778,true,/images/products/2a.png,Almonds Pistachios Biscuits,,All Purpose Flour,Almonds,Pistachios,,,/product/2,,,,,,
3,Whole Wheat Jaggery Cake,360,5,4/11/22,375,dry-cake,https://wa.me/p/4559071524103118/919967551778,true,/images/products/3a.png,Whole Wheat Jaggery Cake,,Whole wheat,Jaggery,Almonds,Cashews,,,,,,,,
4,Rich Coffee Almond Cake,495,5,4/11/22,500,dry-cake,https://wa.me/p/4871577406203904/919967551778,true,/images/products/4a.png,Rich Coffee Almond Cake,,All Purpose Flour,Almomds,Coffee Essence,,,,,,,,,
5,Pina Colada Dry fruit Cake,450,5,4/11/22,500,dry-cake,https://wa.me/p/5101866789877943/919967551778,false,/images/products/5a.png,Pina Colada Dry fruit Cake,,Butter,Dessicated Coconut,Pineapple Crush,Coconut Cream powder,Milk,,Condensed Milk,,,,,
6,Desi Ghee Nankhatai,306,4,4/11/22,340,cookie,https://wa.me/p/5739395742797152/919967551778,false,/images/products/6a.png,Desi Ghee Nankhatai,,All Purpose Flour,Pistachios,,,,,,,,,,
7,Marble Cake,420,4,4/11/22,480,dry-cake,https://wa.me/p/5739395742797152/919967551778,false,/images/products/7a.png,Marble Cake,,All Purpose Flour,Unsalted Butter,Chocolate,,,,,,,,,
8,Dates And Walnut Cake,500,4,4/11/22,580,dry-cake,https://wa.me/p/6077783302261890/919967551778,false,/images/products/8a.png,Dates And Walnut Cake,,All Purpose Flour,Walnuts,Dates,Condensed Milk,,,,,,,,
9,Finger Almonds Cookies,235,4,4/11/22,170,cookie,https://wa.me/p/5129388303854437/919967551778,false,/images/products/9a.png,Finger Almonds Cookies,,Almomds,Desi Ghee,Butter,Almomds,Whole wheat,,Flour,,,,,
10,Cashew Cookies in Desi ghee,220,4,4/11/22,170,cookie,https://wa.me/p/5443901532392779/919967551778,false,/images/products/10a.png,Cashew Cookies in Desi ghee,,Maida,Cashews,Desi Ghee,,,,,,,,,
11,Coconut Cookies,270,4,4/11/22,250,cookie,https://wa.me/p/4359389577456578/919967551778,false,/images/products/11a.png,Coconut Cookies,,Maida,Cashews,Desi Ghee,,,,,,,,,
12,Rava Almonds Cake,395,4,4/11/22,600,dry-cake,https://wa.me/p/4305291462842291/919967551778,false,/images/products/12a.png,Rava Almonds Cake,,Rava,Almond,Curd,Condensed Milk,,,,,,,,
13,Anjeer Almond Cake,495,4,4/11/22,500,dry-cake,https://wa.me/p/4128393080570236/919967551778,false,/images/products/13a.png,Anjeer Almond Cake,,All Purpose Flour,Anjeer,Almond,Condensed Milk,,,,,,,,
14,Rasmalai Cookies,300,4,4/11/22,300,cookie,https://wa.me/p/4078319228941943/919967551778,false,/images/products/14a.png,Rasmalai Cookies,,All Purpose Flour,Rasmalai Essence,Kesar and Unsalted Butter,,,,,,,,,
15,Ragi Dates And Jaggery Healthy Cookies,240,4,4/11/22,250,cookie,https://wa.me/p/4078319228941943/919967551778,false,/images/products/15a.png,Ragi Dates And Jaggery Healthy Cookies,,Ragi,Jaggery,Dates,Desi Ghee,,,,,,,,
16,Granola Energy Bar,440,4,4/11/22,400,energy-bar,https://wa.me/p/4093096574134476/919967551778,false,/images/products/16a.png,Granola Energy Bar,,Ragi,Jaggery,Dates,Desi Ghee,,,,/images/products/16b.png,/images/products/16c.png,/images/products/16d.png,,
17,Coffee Almonds Biscotti,360,4,4/11/22,300,biscuit,https://wa.me/p/4146582648711589/919967551778,false,/images/products/17a.png,Coffee Almonds Biscotti,,All Purpose Flour,Coffee,Choco chips,Unsalted Butter,,,,/images/products/17b.png,,,,
18,Shrewsbury Cookies,324,4,4/11/22,340,cookie,https://wa.me/p/4859117274151037/919967551778,false,/images/products/18a.png,Shrewsbury Cookies,,All Purpose Flour,White butter,,,,,,,,,,
19,Tutti Fruti Biscuits,240,4,4/11/22,250,biscuit,https://wa.me/p/4070214976398684/919967551778,false,/images/products/19a.png,Tutti Fruti Biscuits,,All Purpose Flour,White butter,Tutti Fruti Essence,Pineapple Essence,,,,,,,,
20,Marble Cookies,270,4,4/11/22,280,cookie,https://wa.me/p/4047744651947187/919967551778,false,/images/products/20a.png,Marble Cookies,,All Purpose Flour,Chocolate,Vanilla Essence,Unsalted Butter,,,,,,,,
21,Mix Dry Fruit Jaggery Cake,500,4,4/11/22,475,dry-cake,https://wa.me/p/3914674045299135/919967551778,false,/images/products/21a.png,Mix Dry Fruit Jaggery Cake,,Whole wheat,Jaggery,Dates,Fig,Almomds,,Cashews,,,,Raisins,Walnuts
22,Rose Pistachios Cake,420,4,4/11/22,400,dry-cake,https://wa.me/p/4530219253678750/919967551778,false,/images/products/22a.png,Rose Pistachios Cake,,All Purpose Flour,Unsalted Butter,Rose Syrup,Pistachios,,,,,,,,
23,Chocolate Mud Cake,390,4,4/11/22,375,dry-cake,https://wa.me/p/3986794654782296/919967551778,false,/images/products/23a.png,Chocolate Mud Cake,,All Purpose Flour,Coffee,Condensed Milk,,,,,,,,,
24,Chocolate Cappuccino Marble Cake,480,4,4/11/22,450,dry-cake,https://wa.me/p/3901381533324859/919967551778,false,/images/products/24a.png,Chocolate Cappuccino Marble Cake,,All Purpose Flour,Condensed Milk,Chocolate,,,,,,,,,
25,Rose Nuts Blondie,500,4,4/11/22,200,biscuit,https://wa.me/p/5095235360605078/919967551778,false,/images/products/25a.png,Rose Nuts Blondie,,White Chocolate,Condensed Milk,Butter,Cashews,Almomds,,,,,,,
26,Eggless Chocolate Walnut Brownie,400,4,4/11/22,250,dry-cake,https://wa.me/p/7978563502168780/919967551778,false,/images/products/26a.png,Eggless Chocolate Walnut Brownie,,Dark Chocolate,Condensed Milk,Walnuts,,,,,,,,,
